Class	SentenceA	SentenceB
1	Aufgrund dieser Rechtsvorschriften ist von zwei Anwendungsbereichen auszugehen:	· der naturschutzrechtlichen Eingriffsregelung und · der Eingriffsregelung in der Bauleitplanung.
0	Der Bodenaufbau in der Pflanzwanne setzte sich aus einem Schutzvlies, 4 cm Drainageschicht aus Blähschiefer, einem Filtervlies und 16 cm Intensivsubstrat zusammen.	Bewässert wurde bedarfsgerecht über einen Tropfschlauch.
1	Maximal die Hälfte der Fertigstellungskosten zur Entsiegelung von Höfen sowie zur Gestaltung und zur Begrünung von Höfen, Dächern und Fassaden bis zu 10.000 Euro kann gefördert werden.	Die ersten Maßnahmen wurden bereits umgesetzt.
1	Alles was zum Thema Bauwerksbegrünung angeboten wird, gibt es dort zu finden.	-- Bereitstellung verschiedener Praxisbeispiele von B-Plänen, Abwassersatzungen, Förderprogrammen.
1	"Retentionsdächer werden in Deutschland immer häufiger umgesetzt wie hier das aktuelle Beispiel der Tiefgaragenbegrünung ,,Wohnen am Wasserturm"" in Berlin zeigt."	Oftmals können nur so die Vorgaben zur einleitbeschränkung erfüllt werden.
1	Dabei steht ihnen eine große Bandbreite an Möglichkeiten für die Auswahl der Ausgleichsflächen zur Verfügung.	Die gesetzlichen Regelungen basieren auf den Vorgaben des Bundesnaturschutzgesetzes (BNatSchG) und des Baugesetzbuches (BauGB).
0	BILDQUELLE: OPTIGRÜN	Der gestalterischen Vielfalt sind somit kaum Grenzen gesetzt, sodass bis hin zu anspruchsvollen Beet-Anlagen in Urban FarmingProjekten nahezu jede Form von Grün Einzug in unsere Städte halten kann.
1	Abb.	3: Verbindliche Festlegung von Dachbegrünungen in den Bebauungsplä- Abb.
0	Wolfgang Dickhaut und Dipl.-Geoökol.	Michael Richter, Fachgebiet umweltgerechte Stadt- und Infrastrukturplanung, HafenCity universität Hamburg
1	Eine völlig neue Regelung zugunsten der Bauunternehmer hat der Gesetzgeber mit der Zustandsfeststellung geschaffen.	Immer dann, wenn der Besteller zu Recht die Abnahme verweigert oder den Bauvertrag kündigt kann der Bauunternehmer zukünftig eine Zustandsfeststellung verlangen.
0	14 GebäudeGrün 3/2018	Förderung Gebäudegrün
1	Ziel ist es, den ursprünglichen Zustand des Naturhaushaltes und des Landschaftbildes im Rahmen eines vorbeugenden und dem Verursacherprinzip verpflichteten planerischen Ansatzes möglichst zu erhalten.	Die Berücksichtigung der Eingriffsregelung in der Bauleitplanung stellt sich wie folgt dar:
0	"Mit dem Neubau des Bundesministerium für Bildung und Forschung (BMBF) und dem Haus 2019, einem Bürogebäude des Umweltbundesamtes konnten in Berlin zwei Gebäude realisiert werden, die beide eine BNB-Zertifizierung im Goldstandard als Büro- und Verwaltungsgebäude erhalten haben (siehe ,,Gebäude Grün"" 3-2017)."	Das Bundesverfassungsgericht in Karlsruhe wurde als erstes Bundesbauprojekt mit dem BNB-Modul Büro-und Verwaltungsgebäude, Komplettmodernisierung nachbewertet und erreichte dabei den Silber-Standard.
1	·neue Gebäude · Sozialbaueigentümer · Der Stadtentwicklungsplan von Paris 2016 ermutigt die Begrünung unter allen ihren Formen (2014, Einführung des Biotopfaktors, 2016 Verpflichtung jeden Daches > 100 m ² zu begrünen)	In Halb-Strecke des 100 Hektaren Programms  wird sich der Vortrag bemühen, den Aufbau, den Beförderungszustand und die zukünftigen Absichten zu detaillieren.
1	Wirkungsbereich: · flächendeckend	Gesetzliche Grundlagen: · Lokale Abwassersatzungen · Kommunales Abgabengesetz · Grundsatzurteile u. a. OVG Münster 2007 (NRW), VGH Kassel 2009 (Hessen), VGH Mannheim 2010 (Baden-Württemberg)
0	Soll der Pflegeaufwand weiterhin gering gehalten werden, sollte eine zusätzliche Bewässerung über Tropfschläuche nur in Hitze- und Trockenperioden eingesetzt werden.	Eine Trockenphase im Sommer kann jedoch auch zur Förderung der hitze- und trockenheitsresistenten Pflanzen durch abschalten der Bewässerung genutzt werden.
1	Gebäudedaten Als zweiter Datensatz für die Inventarisierung und Potenzialanalyse von Dachbegrünung werden die Hausumringe (Gebäudeumrisse, Gebäude-Polygone) der betrachteten Städte oder Kommunen benötigt (z.	B. aus dem amtlichen Liegenschaftskatasterinformationssystem ALKIS).
0	2	Alle Rechte vorbehalten.
0	und Konturdeckung (canopy-coverage) (KNAPP, 1984, 79).	Die reale Deckung meint dabei die senkrechte Projektion von oben auf die Vegetation, wobei kleine Lücken innerhalb der Pflanze nicht zur Deckung zählen.
0	· Angaben zum anvisierten Regenwasserrückhalt (Abflussbeiwert) der Dachbegrünung	· Vorgabe der Kontrollmechanismen für die Umsetzungen der Festsetzungen und die dauerhafte Erhaltung des Gründachs
1	Deshalb wurde eine Dachfläche von knapp 3.800 Quadratmetern extensiv begrünt.	Mit kombinierter Muldenversickerung des Regenwassers wird hierbei ein nachhaltiges Regenwassermanagement umgesetzt, das der Berliner Verordnung zum Umgang mit Niederschlagswasser entspricht: Die Dachbegrünung nimmt einen Großteil der Niederschläge auf, das überschüssige Wasser wird dagegen in Sickermulden abgeleitet, die rund um das Gebäude angeordnet sind, und das Regenwasser wiederum an die anliegenden Pflanzen und den Rasen abgeben.
1	· Eine Abstimmung mit den ökologischen Zielen und Qualitätskriterien der anderen Förderinstrumente sollte unbedingt vorgenommen werden, um so auch stadtökologische Funktionen (Flora, Fauna, Landschaftsbild) mit berücksichtigen zu können.	· Gestaltung der Gebührenreduktion: Aus Praktikabilitätsgründen sollte die Anzahl und der Differenzierungsgrad der Gebührenreduktion überschaubar gehalten werden.
0	Externe Sensoren (bis zu 128 Ein- und Ausgänge), die zum Beispiel Daten zu Bodenfeuchte und Regenhäufigkeit liefern, kann die Steuerung in die Bewässerungsanlage einbinden.	Äußere Einflüsse fließen dadurch gezielt in die Beregnungs- oder Lichtsteuerung ein.
1	Gibt es in Ihrer Kommune Bebauungspläne, die Fassaden	begrünungen verbindlich festlegen?
0	Err:509	- an den senkrechten Bereichen der An- und Abschlüsse auf eine ausreichende Aufklebung, Verschweißung oder mechanische Befestigung geachtet?
1	September 2017 offiziell in Kraft gesetzt wurde.	Mit der neuen Satzung reagiert die Stadt darauf, dass immer neue Flächen im Stadtgebiet bebaut und damit versiegelt werden.
0	FBB-Präsident Dr. Gunter Mann (links) und DDV-Präsident Carsten Henselek besiegeln mit Handschlag die Verschmelzung und Neugründung.	nen Anlagen wie Satzung und Beitragsordnung des neuen Verbands.
0	Mechanische Schäden durch das Versagen von Wuchshilfen infolge einer unterschätzten Gesamtlast (Eigengewicht + Schnee-/Eislast + Windlast) der Begrünung können auch Fremdschäden (Sachschäden, Unfälle) bewirken.	Wuchskonstruktionen sollten daher auf die Lebensdauer der Pflanzen ausgerichtet sein.
0	Michael Aebi	Der Raumbegrüner Michel Aebi hat als Unternehmer und Projektleiter mehrere hundert Raumbegrünungsprojekte geplant und umgesetzt.
1	2 Satz 2 BNatSchG).	· Ersetzt ist eine Beeinträchtigung, wenn und sobald die beeinträchtigten Funktionen des Naturhaushalts in dem betroffenen Naturraum in gleichwertiger Weise hergestellt und das Landschaftsbild landschaftsgerecht neu gestaltet ist (§ 15 Abs.
0	räumlicher Wirkungsbereich	Instrumente der Bauleitplanung, insbesondere Bebauungsplan (Kap.
0	2.	Satzungen
1	Teil A ­ Dachbegrünung: · Gibt es in Ihrer Kommune Bebauungspläne, die Dachbegrü-	nungen verbindlich festlegen?
0	sundheits- und umweltgerechte	Baustoffe eingesetzt werden
1	Aus diesem Grund setzt der Verband Region Stuttgart in seiner regionalen Klimaschutz- und Anpassungsstrategie auch auf die Vielfalt der Ansätze und Ebenen.	Der Verband Region Stuttgart ist die politische Ebene der Region Stuttgart in Form einer Körperschaft des öffentlichen Rechts mit einer direkt gewählten Regionalversammlung.
0	Alle Rechte vorbehalten.	Nachdruck, auch in Auszügen, nur mit ausdrücklicher Genehmigung des Herausgebers und Angabe der Quelle.
0	"Hierzu wurde eine als Parkband ausgestaltete Rampe entwickelt, die das Dach des Bunkers mit der Feldstraße verbindet und in der Fortsetzung entlang des Aufbaus als ,,Bergpfad"" den öffentlichen Dachpark anbindet."	Das Konzept eines partizipativ geplanten Stadtgartens - mit einem Gleichgewicht aus Schaffung öffentlicher Grünflächen für den Stadtteil und Räumlichkeiten im Inneren - wurde in einem ersten Entwurf entwickelt, mit Hilfe eines anschaulichen Modells dem Eigentümer des Bunkers, Prof. Matzen von der erbpachtberechtigten Matzen KG, vorgestellt und von ihm mit Begeisterung aufgenommen.
0	Jahrhundert zum positiven verändern.	"Aufgrund seiner vielfachen positiven Effekte hat die Bundesregierung das Thema ,,Grün in der Stadt"" erstmals im Jahr 2013 auf die Agenda gesetzt."
0	munale Gründachförderung als Maßnahme zur Klimaanpassung l Ökopunkte für Gründächer ­ Bewertung verschiedener Dachbegrünungen im Zusammenhang mit Eingriffsregelung und kommunaler Förderung Verdunstungskühlung durch begrünte Dächer l Bewässerungsstrategien bei begrünten Dächern l Neues Verfahren zur vereinfachten Bestimmung des Deckungsgrads bei Extensivbegrünungen l Sicherstellung der positiven Wirkungen von extensiven	Dachbegrünungen durch fachgerechte Pflege und Wartung.
1	Beide Parteien müssen den Zustand der Baustelle und der vom Bauunternehmer erbrachten Bauleistungen in einem schriftlichen Protokoll festhalten.	Erscheint der Besteller zu dem vom Bauunternehmer angesetzten Termin unentschuldigt nicht, kann der Bauunternehmer die Zustandsfeststellung auch ohne den Bauherren in einem Protokoll festhalten und ihm dieses zusenden.
1	Für die planerische Bewältigung bedeutet dieses, dass zum frühestmöglichen Zeitpunkt (i. d. R. im Rahmen der frühzeitigen Behördenbeteiligung der Umweltprüfung in der Bauleitplanung gemäß § 4 Abs.	1 BauGB) Hinweise zum Vorkommen solcher Arten nach § 44 Abs.
0	Bei größeren Projekten kann der Wasserdruck mittels einer Druckerhöhungsvorrichtung verstärkt werden.	Das Öffnen und Schließen des elektromagnetischen Ventils kann durch ein autonomeres Programmiermodul oder per Computer und Fernsteuerung geschehen.
0	2: Übersicht der Pflanzenverluste 73	4.1.3 Artenvielfalt, Blühaspekt Bei der Pflanzenauswahl wurden von den vier teilnehmenden Firmen unterschiedliche Schwerpunkte gesetzt.
1	4.3 Absturzsicherung während der Ausführung Sicherungsmaßnahmen wie Gerüste, Netze oder Geländer sind ab einer Absturzhöhe von 3 m zwingend erforderlich.	Prüfen Sie, ob die Unfallverhütungsvorschriften auf der Dachfläche eingehalten werden.
1	Seite 22) übernommen werden.	EINGRIFFSREGELUNG NACH NATURSCHUTZRECHT Die Eingriffsregelung nach dem Bundesnaturschutzgesetz bezieht sich nur auf Neubauvorhaben im Außenbereich einer Kommune und findet im Gegensatz zur baurechtlichen Eingriffsregelung keine Anwendung im beplanten oder nicht beplanten Innenbereich einer Kommune (vgl.
1	o.)	· Pflanzkübel, Kiesschüttungen, Terrassenbeläge · Umsatzsteuer, sofern diese durch den Antragsteller als Vor-
0	Das weltweit erste begrünte Hochhaus, den Commerzbank-Tower in Frankfurt von Sir Norman Foster klimatisiert mit neun Wintergärten die Büros auf 55 Etagen.	Die nach drei Himmelsrichtungen gerichteten Skygärten sind miteinander über den Kern verbunden.
1	Absturzsicherung ist Pflicht, doch in welcher Ausführung?	Anton Stenger: Für das Thema Absturzsicherung auf Flachdächern gibt es ganz klare gesetzliche Vorgaben.
1	"Als ,,Eingriffe"" im Sinne des § 14 Abs."	"1 Bundesnaturschutzgesetz (BNatSchG) gelten ,,Veränderungen der Gestalt oder Nutzung von Grundflächen oder Veränderungen des mit der belebten Bodenschicht in Verbindung stehenden Grundwasserspiegels, die die Leistungsund Funktionsfähigkeit des Naturhaushaltes oder das Landschaftsbild erheblich beeinträchtigen können""."
0	Live-Blick auf die Leistungen, die Thema Bauwerksbegrünung und Grau werden die technischen Eventideen umzusetzen.	Begrünungen für unsere Stadt bietet auch zielgruppengerechte Details und die Umsetzung der
